Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
Sorry We Missed You,2019,7.6,101,27000,Not Rated,82.0,"Hoping that self-employment through gig economy can solve their financial woes, a hard-up UK delivery driver and his wife struggling to raise a family end up trapped in the vicious circle of this modern-day form of labour exploitation.",Ken Loach,Kris Hitchen, Debbie Honeywood, Rhys Mcgowan
Maudie,2016,7.6,115,24000,PG-13,65.0,An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,Aisling Walsh,Sally Hawkins, Ethan Hawke, Zachary Bennett
"Oslo, August 31st",2011,7.6,95,31000,Not Rated,84.0,"One day in the life of Anders, a young recovering drug addict, who takes a brief leave from his treatment center to interview for a job and catch up with old friends in Oslo.",Joachim Trier,Anders Danielsen Lie, Hans Olav Brenner, Ingrid Olava
The Bishop's Wife,1947,7.6,109,22000,Approved,73.0,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Henry Koster,Cary Grant, Loretta Young, David Niven
Boy A,2007,7.6,106,39000,R,75.0,"The story of a young Jack, newly released from serving a prison sentence for a violent crime he committed as a child.",John Crowley,Andrew Garfield, Peter Mullan, Shaun Evans
Joyeux Noel,2005,7.6,116,33000,PG-13,70.0,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Christian Carion,Diane Kruger, Benno Fürmann, Guillaume Canet
The Ladykillers,1955,7.6,91,33000,Not Rated,91.0,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Alexander Mackendrick,Alec Guinness, Peter Sellers, Cecil Parker
Mr. Church,2016,7.6,104,32000,PG-13,37.0,Unique friendship develops when a girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.,Bruce Beresford,Eddie Murphy, Britt Robertson, Natascha McElhone
Mutiny on the Bounty,1935,7.6,132,25000,Approved,87.0,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",Frank Lloyd,Charles Laughton, Clark Gable, Franchot Tone
The Man Without a Past,2002,7.6,97,27000,PG-13,84.0,"M arrives in Helsinki only to be viciously attacked by thugs and pronounced dead by medics. He revives but with no memory of his past or his identity. He rebuilds his life from scratch, but the past inevitably catches up with him.",Aki Kaurismäki,Markku Peltola, Kati Outinen, Annikki Tähti
Lady Snowblood,1973,7.6,97,17000,Not Rated,80.0,A young woman is trained from birth to be a deadly instrument of revenge against the swindlers who destroyed her family.,Toshiya Fujita,Meiko Kaji, Toshio Kurosawa, Masaaki Daimon
In a Better World,2010,7.6,118,42000,R,65.0,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Susanne Bier,Mikael Persbrandt, Trine Dyrholm, Markus Rygaard
Tell Me Who I Am,2019,7.6,86,18000,TV-MA,69.0,"After losing his memory in an accident, Alex Lewis trusts his twin brother, Marcus, to tell him about his past only to discover that he's hiding a dark secret about their childhood.",Ed Perkins,Andrew Caley, Alex Lewis, Marcus Lewis
Our Little Sister,2015,7.6,127,18000,PG,75.0,"Three sisters live together in Kamakura. When their father - absent for 15 years - dies, they travel to the countryside for his funeral and meet their half-sister. Bonding quickly with the orphaned Suzu, they invite her to live with them.",Hirokazu Koreeda,Haruka Ayase, Masami Nagasawa, Kaho
The Visitor,2007,7.6,104,45000,PG-13,79.0,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,Richard Jenkins, Haaz Sleiman, Danai Gurira
Hamlet,1948,7.6,154,19000,Approved,82.0,"Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",Laurence Olivier,Laurence Olivier, Jean Simmons, John Laurie
Love and Death,1975,7.6,85,42000,PG,89.0,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Woody Allen,Woody Allen, Diane Keaton, Georges Adet
All That Heaven Allows,1955,7.6,89,17000,Approved,78.0,"An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.",Douglas Sirk,Jane Wyman, Rock Hudson, Agnes Moorehead
The Incredible Shrinking Man,1957,7.6,81,21000,Approved,73.0,"After Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",Jack Arnold,Grant Williams, Randy Stuart, April Kent
The Defiant Ones,1958,7.6,96,19000,Approved,69.0,"Two chained-together escaped convicts, one White and one Black, must learn to get along in order to elude capture.",Stanley Kramer,Tony Curtis, Sidney Poitier, Cara Williams
Bloody Sunday,2002,7.6,111,26000,R,90.0,"A dramatization of the Irish civil rights protest march and subsequent massacre by British troops on January 30, 1972.",Paul Greengrass,James Nesbitt, Tim Pigott-Smith, Nicholas Farrell
Mustang,2015,7.6,97,42000,PG-13,83.0,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Deniz Gamze Ergüven,Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu
Lifeboat,1944,7.6,97,32000,Approved,78.0,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,Alfred Hitchcock,Tallulah Bankhead, John Hodiak, Walter Slezak
The Boy and the Beast,2015,7.6,119,28000,PG-13,65.0,"When a young orphaned boy living on the streets of Shibuya stumbles upon a fantastic world of beasts, he's taken in by a gruff warrior beast looking for an apprentice.",Mamoru Hosoda,Kôji Yakusho, Aoi Miyazaki, Shôta Sometani
Mass,2021,7.6,111,18000,PG-13,81.0,The parents of both the shooter and one of the victims of a school shooting tragedy agree to meet and talk in an attempt to move forward.,Fran Kranz,Jason Isaacs, Martha Plimpton, Ann Dowd
Loveless,2017,7.6,127,36000,R,86.0,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Andrey Zvyagintsev,Maryana Spivak, Aleksey Rozin, Matvey Novikov
Winchester '73,1950,7.6,92,23000,Approved,83.0,A cowboy's obsession with a stolen rifle leads to a bullet-ridden odyssey through the American West.,Anthony Mann,James Stewart, Shelley Winters, Dan Duryea
After the Thin Man,1936,7.6,112,12000,Approved,76.0,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",W.S. Van Dyke,William Powell, Myrna Loy, James Stewart
Delhi Belly,2011,7.6,103,33000,Not Rated,66.0,Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,"Abhinay Deo, Akshat Verma",Imran Khan, Vir Das, Kunaal Roy Kapur
Moonage Daydream,2022,7.6,135,15000,PG-13,83.0,"A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",Brett Morgen,David Bowie, Trevor Bolder, Ken Fordham
The Red Violin,1998,7.6,130,35000,R,57.0,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.",François Girard,Carlo Cecchi, Jean-Luc Bideau, Christoph Koncz
3:10 to Yuma,1957,7.6,92,23000,Approved,80.0,Broke small-time rancher Dan Evans is hired by the stagecoach line to put big-time captured outlaw leader Ben Wade on the 3:10 train to Yuma but Wade's gang tries to free him.,Delmer Daves,Glenn Ford, Van Heflin, Felicia Farr
Laurence Anyways,2012,7.6,168,23000,Not Rated,73.0,A drama that charts ten years in a transgender woman's relationship with her lover.,Xavier Dolan,Melvil Poupaud, Emmanuel Schwartz, Suzanne Clément
Meet John Doe,1941,7.6,122,15000,Approved,63.0,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a social movement begins.",Frank Capra,Gary Cooper, Barbara Stanwyck, Edward Arnold
Capturing the Friedmans,2003,7.6,107,28000,Not Rated,90.0,"Documentary on the Friedmans, a seemingly typical, upper-middle-class Jewish family whose world is instantly transformed when the father and his youngest son are arrested and charged with shocking and horrible crimes.",Andrew Jarecki,Arnold Friedman, Jesse Friedman, David Friedman
Mister Roberts,1955,7.6,123,19000,Approved,72.0,"In the waning days of World War II, the cargo officer of a Navy supply ship chafes at its role far from the action in the Pacific's backwater areas, his frustration rising when its captain denies the crew liberty over petty irritations.","John Ford, Mervyn LeRoy, Joshua Logan",Henry Fonda, James Cagney, William Powell
Le Dîner de Cons,1998,7.6,80,46000,PG-13,73.0,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Francis Veber,Thierry Lhermitte, Jacques Villeret, Francis Huster
The Public Enemy,1931,7.6,83,24000,Passed,80.0,An Irish-American street punk tries to make it big in the world of organized crime.,William A. Wellman,James Cagney, Jean Harlow, Edward Woods
Chimes at Midnight,1965,7.6,115,11000,Not Rated,94.0,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V.",Orson Welles,Orson Welles, Jeanne Moreau, Margaret Rutherford
The Seventh Continent,1989,7.6,108,18000,Not Rated,89.0,The daily routines of a seemingly ordinary Austrian family begin to take on a sinister complexion.,Michael Haneke,Birgit Doll, Dieter Berner, Leni Tanzer
The Pawnbroker,1964,7.6,116,11000,Approved,69.0,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.",Sidney Lumet,Rod Steiger, Geraldine Fitzgerald, Brock Peters
After Life,1998,7.6,119,14000,Not Rated,91.0,"After death, people have a week to choose only one memory to keep for eternity.",Hirokazu Koreeda,Arata Iura, Erika Oda, Susumu Terajima
A Summer's Tale,1996,7.6,113,11000,G,91.0,"As a reserved young graduate vacations in a seaside town, he hopes his girlfriend will join him. But he ends up bonding with a local young woman whose female friend is also smitten with him.",Éric Rohmer,Melvil Poupaud, Amanda Langlet, Gwenaëlle Simon
Carandiru,2003,7.6,145,23000,R,71.0,"Stories of crime, revenge, love, and friendship at the Carandiru Penitentiary, the largest prison in Latin America.",Hector Babenco,Enrique Diaz, Wagner Moura, Caio Blat
The Magnificent Ambersons,1942,7.6,88,28000,Approved,93.0,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,"Orson Welles, Fred Fleck, Robert Wise",Tim Holt, Joseph Cotten, Dolores Costello
Fire of Love,2022,7.6,98,15000,PG,84.0,Intrepid scientists and lovers Katia and Maurice Krafft died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of volcanoes by capturing the most explosive imagery ever recorded.,Sara Dosa,Miranda July, Katia Krafft, Maurice Krafft
Les Misérables,2019,7.6,104,29000,R,78.0,"A cop from the provinces moves to Paris to join the Anti-Crime Brigade of Montfermeil, discovering an underworld where the tensions between the different groups mark the rhythm.",Ladj Ly,Damien Bonnard, Alexis Manenti, Djebril Zonga
Buena Vista Social Club,1999,7.6,105,21000,G,81.0,"Aging Cuban musicians whose talents had been virtually forgotten following Castro's takeover of Cuba, are brought out of retirement by Ry Cooder, who travelled to Havana in order to bring the musicians together, resulting in triumphant performances of extraordinary music, and resurrecting the musicians' careers.",Wim Wenders,Compay Segundo, Ibrahim Ferrer, Rubén González
Only Angels Have Wings,1939,7.6,121,16000,Approved,86.0,"At a remote South American trading port, the manager of an air-freight company is compelled to risk the lives of his pilots in order to win an important contract as a traveling American showgirl stops in town.",Howard Hawks,Cary Grant, Jean Arthur, Rita Hayworth
The Blue Angel,1930,7.6,104,17000,Passed,90.0,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,Josef von Sternberg,Emil Jannings, Marlene Dietrich, Kurt Gerron
Johnny Guitar,1954,7.6,110,20000,Approved,83.0,"After helping a wounded gang member, a strong-willed female saloon owner is wrongly suspected of murder and bank robbery by a lynch mob.",Nicholas Ray,Joan Crawford, Sterling Hayden, Mercedes McCambridge
Sophie Scholl: The Final Days,2005,7.6,120,29000,Not Rated,76.0,"A dramatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose.",Marc Rothemund,Julia Jentsch, Fabian Hinrichs, Alexander Held
